age_c,meno,racenci_c,famhx_c,benbiopresult_c,density_c,BMIgrp,cumrisk_6yr_ann,cumrisk_6yr_bie,cumrisk_6yr_ann_AgeRaceMean,cumrisk_6yr_bie_AgeRaceMean,prevalence
40,0,1,0,2,1,0,0.0001513329,0.0002716629,0.0013933214,0.0019047642,4.9988832E-6
40,0,1,0,2,1,1,0.0002239732,0.0003359868,0.0013933214,0.0019047642,0.0000611768
40,0,1,0,2,1,2,0.0002955213,0.0005759284,0.0013933214,0.0019047642,0.0001212428
40,0,1,0,2,1,3,0.0003115993,0.0005174787,0.0013933214,0.0019047642,0.0001302884
40,0,1,0,2,1,4,0.0004119043,0.0004685968,0.0013933214,0.0019047642,0.0002136031
40,0,1,0,2,2,0,0.0003658632,0.000682762,0.0013933214,0.0019047642,0.0000403085
40,0,1,0,2,2,1,0.0005480105,0.0008318111,0.0013933214,0.0019047642,0.0012380567
40,0,1,0,2,2,2,0.000720764,0.0014277039,0.0013933214,0.0019047642,0.0011264944
40,0,1,0,2,2,3,0.000759454,0.0012806978,0.0013933214,0.0019047642,0.000703811
40,0,1,0,2,2,4,0.0010071325,0.0011711514,0.0013933214,0.0019047642,0.0006105779
40,0,1,0,2,3,0,0.0008386464,0.001254603,0.0013933214,0.0019047642,0.000124496
40,0,1,0,2,3,1,0.0012550009,0.0015330852,0.0013933214,0.0019047642,0.0034889824
40,0,1,0,2,3,2,0.0016502058,0.0026345736,0.0013933214,0.0019047642,0.0015408462
40,0,1,0,2,3,3,0.0017456712,0.0023618656,0.0013933214,0.0019047642,0.0005682064
40,0,1,0,2,3,4,0.0023052292,0.0021677203,0.0013933214,0.0019047642,0.0003798358
40,0,1,0,2,4,0,0.0009602388,0.0016468524,0.0013933214,0.0019047642,0.0001750403
40,0,1,0,2,4,1,0.0014447028,0.0020245398,0.0013933214,0.0019047642,0.0015057747
40,0,1,0,2,4,2,0.0019012089,0.0034806881,0.0013933214,0.0019047642,0.0002744625
40,0,1,0,2,4,3,0.0020114211,0.0031255083,0.0013933214,0.0019047642,0.000086568
40,0,1,0,2,4,4,0.0026615706,0.002868463,0.0013933214,0.0019047642,0.0001063255
40,0,1,0,3,1,0,0.0002596311,0.0004873293,0.0013933214,0.0019047642,1.348905E-6
40,0,1,0,3,1,1,0.0003875319,0.0006034943,0.0013933214,0.0019047642,1.586947E-6
40,0,1,0,3,1,2,0.0005114223,0.0010355103,0.0013933214,0.0019047642,8.3314719E-6
40,0,1,0,3,1,3,0.0005387928,0.000929896,0.0013933214,0.0019047642,6.1097461E-6
40,0,1,0,3,1,4,0.0007140458,0.0008424321,0.0013933214,0.0019047642,0.0000156314
40,0,1,0,3,2,0,0.000629762,0.0012234919,0.0013933214,0.0019047642,4.3641043E-6
40,0,1,0,3,2,1,0.0009516592,0.001492882,0.0013933214,0.0019047642,0.0000823626
40,0,1,0,3,2,2,0.0012519657,0.0025646761,0.0013933214,0.0019047642,0.0000784745
40,0,1,0,3,2,3,0.0013181287,0.0022992107,0.0013933214,0.0019047642,0.000043403
40,0,1,0,3,2,4,0.001752146,0.0021032835,0.0013933214,0.0019047642,0.0000441171
40,0,1,0,3,3,0,0.0014408602,0.0022472512,0.0013933214,0.0019047642,0.000015314
40,0,1,0,3,3,1,0.0021752944,0.0027491542,0.0013933214,0.0019047642,0.0003615065
40,0,1,0,3,3,2,0.0028607976,0.0047271072,0.0013933214,0.0019047642,0.0001526643
40,0,1,0,3,3,3,0.0030234709,0.0042348899,0.0013933214,0.0019047642,0.0000599866
40,0,1,0,3,3,4,0.0040017277,0.0038884925,0.0013933214,0.0019047642,0.0000280096
40,0,1,0,3,4,0,0.0016509547,0.0029464923,0.0013933214,0.0019047642,0.000022852
40,0,1,0,3,4,1,0.0025067067,0.0036252789,0.0013933214,0.0019047642,0.0002193161
40,0,1,0,3,4,2,0.0032988606,0.00623529,0.0013933214,0.0019047642,0.0000489573
40,0,1,0,3,4,3,0.0034873297,0.0055945044,0.0013933214,0.0019047642,8.2521246E-6
40,0,1,0,3,4,4,0.0046242451,0.0051378824,0.0013933214,0.0019047642,0.000014838
40,0,1,0,4,1,0,0.0002063316,0.0003543403,0.0013933214,0.0019047642,7.9347352E-8
40,0,1,0,4,1,1,0.0003041684,0.0004385354,0.0013933214,0.0019047642,5.5543146E-6
40,0,1,0,4,1,2,0.0004020625,0.0007502254,0.0013933214,0.0019047642,4.6021464E-6
40,0,1,0,4,1,3,0.0004236411,0.0006753156,0.0013933214,0.0019047642,9.5216822E-6
40,0,1,0,4,1,4,0.0005600794,0.0006110401,0.0013933214,0.0019047642,0.0000127749
40,0,1,0,4,2,0,0.000497897,0.0008894217,0.0013933214,0.0019047642,1.1902103E-6
40,0,1,0,4,2,1,0.0007432961,0.0010849409,0.0013933214,0.0019047642,0.0000549084
40,0,1,0,4,2,2,0.0009793277,0.0018584659,0.0013933214,0.0019047642,0.0000607801
40,0,1,0,4,2,3,0.0010312101,0.0016699188,0.0013933214,0.0019047642,0.0000645094
40,0,1,0,4,2,4,0.0013676374,0.0015262127,0.0013933214,0.0019047642,0.00003404
40,0,1,0,4,3,0,0.0011419273,0.0016375257,0.0013933214,0.0019047642,7.9347352E-6
40,0,1,0,4,3,1,0.0017027927,0.0020025205,0.0013933214,0.0019047642,0.0002205063
40,0,1,0,4,3,2,0.0022427868,0.0034342618,0.0013933214,0.0019047642,0.00010212
40,0,1,0,4,3,3,0.0023709822,0.0030827344,0.0013933214,0.0019047642,0.0000429269
40,0,1,0,4,3,4,0.0031306272,0.0028284029,0.0013933214,0.0019047642,0.0000317389
40,0,1,0,4,4,0,0.0013092234,0.0021444293,0.0013933214,0.0019047642,0.0000147586
40,0,1,0,4,4,1,0.0019625237,0.0026387164,0.0013933214,0.0019047642,0.0001156884
40,0,1,0,4,4,2,0.002586919,0.0045260122,0.0013933214,0.0019047642,0.0000220586
40,0,1,0,4,4,3,0.0027349792,0.0040700595,0.0013933214,0.0019047642,7.3793037E-6
40,0,1,0,4,4,4,0.0036185719,0.003733785,0.0013933214,0.0019047642,3.4119361E-6
40,0,1,0,5,1,0,0.0001634155,0.0003698714,0.0013933214,0.0019047642,0
40,0,1,0,5,1,1,0.0002420902,0.0004581032,0.0013933214,0.0019047642,7.9347352E-8
40,0,1,0,5,1,2,0.0003194235,0.000784719,0.0013933214,0.0019047642,1.586947E-7
40,0,1,0,5,1,3,0.0003367784,0.0007024656,0.0013933214,0.0019047642,2.3804205E-7
40,0,1,0,5,1,4,0.0004452372,0.000639076,0.0013933214,0.0019047642,4.7608411E-7
40,0,1,0,5,2,0,0.0003951029,0.000920994,0.0013933214,0.0019047642,7.9347352E-8
40,0,1,0,5,2,1,0.0005923892,0.0011250823,0.0013933214,0.0019047642,0.0000156314
40,0,1,0,5,2,2,0.0007791048,0.0019296887,0.0013933214,0.0019047642,0.0000242803
40,0,1,0,5,2,3,0.0008208028,0.0017253958,0.0013933214,0.0019047642,0.000011188
40,0,1,0,5,2,4,0.0010886554,0.001582975,0.0013933214,0.0019047642,0.0000110293
40,0,1,0,5,3,0,0.0009052421,0.0016870977,0.0013933214,0.0019047642,5.633662E-6
40,0,1,0,5,3,1,0.0013560197,0.0020661695,0.0013933214,0.0019047642,0.0000755387
40,0,1,0,5,3,2,0.0017829998,0.0035472621,0.0013933214,0.0019047642,0.0000197575
40,0,1,0,5,3,3,0.0018857268,0.0031690315,0.0013933214,0.0019047642,7.5379984E-6
40,0,1,0,5,3,4,0.0024903754,0.002917953,0.0013933214,0.0019047642,3.4119361E-6
40,0,1,0,5,4,0,0.001036103,0.0022130229,0.0013933214,0.0019047642,1.586947E-6
40,0,1,0,5,4,1,0.0015604507,0.0027253916,0.0013933214,0.0019047642,0.0000326118
40,0,1,0,5,4,2,0.0020535264,0.0046805005,0.0013933214,0.0019047642,7.7760405E-6
40,0,1,0,5,4,3,0.0021720561,0.0041873666,0.0013933214,0.0019047642,1.0315156E-6
40,0,1,0,5,4,4,0.0028740939,0.0038555541,0.0013933214,0.0019047642,1.348905E-6
40,0,1,0,6,1,0,0.0003703402,2.003791E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,1,1,0.0005495948,2.480031E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,1,2,0.0007251793,4.253014E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,1,3,0.000763914,3.812638E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,1,4,0.001009956,3.450828E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,2,0,0.0008939221,5.017786E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,2,1,0.0013428359,6.119214E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,2,2,0.0017659832,1.051147E-10,0.0013933214,0.0019047642,1.1902103E-6
40,0,1,0,6,2,3,0.0018584559,9.39677E-11,0.0013933214,0.0019047642,2.3804205E-6
40,0,1,0,6,2,4,0.0024639338,8.586527E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,3,0,0.0020426322,9.165308E-11,0.0013933214,0.0019047642,0
40,0,1,0,6,3,1,0.0030659846,1.12126E-10,0.0013933214,0.0019047642,7.8553878E-6
40,0,1,0,6,3,2,0.0040304769,1.92922E-10,0.0013933214,0.0019047642,2.3010732E-6
40,0,1,0,6,3,3,0.0042565123,1.721094E-10,0.0013933214,0.0019047642,1.586947E-7
40,0,1,0,6,3,4,0.0056161125,1.578257E-10,0.0013933214,0.0019047642,1.2695576E-6
40,0,1,0,6,4,0,0.0023361385,1.198204E-10,0.0013933214,0.0019047642,3.1738941E-7
40,0,1,0,6,4,1,0.003525777,1.474958E-10,0.0013933214,0.0019047642,4.3641043E-6
40,0,1,0,6,4,2,0.0046384867,2.539536E-10,0.0013933214,0.0019047642,7.9347352E-8
40,0,1,0,6,4,3,0.0048984231,2.267042E-10,0.0013933214,0.0019047642,1.1902103E-6
40,0,1,0,6,4,4,0.0064740826,2.078512E-10,0.0013933214,0.0019047642,0
40,0,1,1,2,1,0,0.0002434711,0.0003911382,0.0013933214,0.0019047642,1.355726E-7
40,0,1,1,2,1,1,0.0003609529,0.0004855427,0.0013933214,0.0019047642,4.021987E-6
40,0,1,1,2,1,2,0.0004758504,0.0008311278,0.0013933214,0.0019047642,8.2699283E-6
40,0,1,1,2,1,3,0.0005018309,0.000749178,0.0013933214,0.0019047642,8.7896233E-6
40,0,1,1,2,1,4,0.0006628639,0.0006780337,0.0013933214,0.0019047642,0.0000140092
40,0,1,1,2,2,0,0.0005891082,0.0009802987,0.0013933214,0.0019047642,3.6152692E-6
40,0,1,1,2,2,1,0.000883403,0.0011989535,0.0013933214,0.0019047642,0.000098019
40,0,1,1,2,2,2,0.0011609176,0.0020549229,0.0013933214,0.0019047642,0.0000900428
40,0,1,1,2,2,3,0.0012232417,0.0018489637,0.0013933214,0.0019047642,0.000060601
40,0,1,1,2,2,4,0.0016208804,0.001690946,0.0013933214,0.0019047642,0.0000543872
40,0,1,1,2,3,0,0.0013489715,0.0018019847,0.0013933214,0.0019047642,0.0000103939
40,0,1,1,2,3,1,0.0020214564,0.0022099597,0.0013933214,0.0019047642,0.0002931305
40,0,1,1,2,3,2,0.0026554683,0.0037922785,0.0013933214,0.0019047642,0.000132477
40,0,1,1,2,3,3,0.0028089324,0.0034091233,0.0013933214,0.0019047642,0.000044513
40,0,1,1,2,3,4,0.0037056825,0.0031295623,0.0013933214,0.0019047642,0.0000369887
40,0,1,1,2,4,0,0.0015435341,0.0023661139,0.0013933214,0.0019047642,0.0000148904
40,0,1,1,2,4,1,0.0023253028,0.0029183209,0.0013933214,0.0019047642,0.0001474352
40,0,1,1,2,4,2,0.0030572531,0.005009768,0.0013933214,0.0019047642,0.0000275438
40,0,1,1,2,4,3,0.0032341561,0.0045104887,0.0013933214,0.0019047642,6.5978663E-6
40,0,1,1,2,4,4,0.0042749629,0.0041402332,0.0013933214,0.0019047642,9.7386315E-6
40,0,1,1,3,1,0,0.0004175255,0.0007012758,0.0013933214,0.0019047642,2.2595433E-8
40,0,1,1,3,1,1,0.000624158,0.000871467,0.0013933214,0.0019047642,1.355726E-7
40,0,1,1,3,1,2,0.0008229955,0.0014932168,0.0013933214,0.0019047642,5.8748125E-7
40,0,1,1,3,1,3,0.0008671508,0.0013448934,0.0013933214,0.0019047642,1.0167945E-6
40,0,1,1,3,1,4,0.0011482572,0.0012179355,0.0013933214,0.0019047642,1.2879397E-6
40,0,1,1,3,2,0,0.0010132897,0.0017553253,0.0013933214,0.0019047642,3.6152692E-7
40,0,1,1,3,2,1,0.0015326524,0.0021495944,0.0013933214,0.0019047642,0.0000101453
40,0,1,1,3,2,2,0.0020145837,0.0036872846,0.0013933214,0.0019047642,8.1117603E-6
40,0,1,1,3,2,3,0.0021208859,0.0033147788,0.0013933214,0.0019047642,4.7902317E-6
40,0,1,1,3,2,4,0.0028165741,0.0030331059,0.0013933214,0.0019047642,5.1291632E-6
40,0,1,1,3,3,0,0.002315232,0.0032238164,0.0013933214,0.0019047642,1.513894E-6
40,0,1,1,3,3,1,0.0034993413,0.0039570823,0.0013933214,0.0019047642,0.0000330345
40,0,1,1,3,3,2,0.0045973255,0.0067928627,0.0013933214,0.0019047642,0.0000142577
40,0,1,1,3,3,3,0.0048578347,0.0061004253,0.0013933214,0.0019047642,7.1175613E-6
40,0,1,1,3,3,4,0.0064216785,0.0056036643,0.0013933214,0.0019047642,1.9432072E-6
40,0,1,1,3,4,0,0.0026507564,0.004226968,0.0013933214,0.0019047642,2.6888565E-6
40,0,1,1,3,4,1,0.0040290023,0.0052162681,0.0013933214,0.0019047642,0.0000214205
40,0,1,1,3,4,2,0.0052968538,0.0089555681,0.0013933214,0.0019047642,3.4345058E-6
40,0,1,1,3,4,3,0.0055980595,0.0080537022,0.0013933214,0.0019047642,1.1975579E-6
40,0,1,1,3,4,4,0.0074129701,0.0073990737,0.0013933214,0.0019047642,1.2201534E-6
40,0,1,1,4,1,0,0.0003314835,0.0005098827,0.0013933214,0.0019047642,0
40,0,1,1,4,1,1,0.0004896222,0.0006334416,0.0013933214,0.0019047642,0
40,0,1,1,4,1,2,0.0006466356,0.0010819962,0.0013933214,0.0019047642,6.7786298E-7
40,0,1,1,4,1,3,0.0006814401,0.000977153,0.0013933214,0.0019047642,1.0167945E-6
40,0,1,1,4,1,4,0.0009001284,0.0008835059,0.0013933214,0.0019047642,1.0393899E-6
40,0,1,1,4,2,0,0.0008005643,0.0012760421,0.0013933214,0.0019047642,2.2595433E-8
40,0,1,1,4,2,1,0.0011967601,0.0015627384,0.0013933214,0.0019047642,5.694049E-6
40,0,1,1,4,2,2,0.0015754287,0.0026726334,0.0013933214,0.0019047642,5.4906901E-6
40,0,1,1,4,2,3,0.0016587871,0.0024088552,0.0013933214,0.0019047642,3.7508418E-6
40,0,1,1,4,2,4,0.002197931,0.0022013894,0.0013933214,0.0019047642,3.1633606E-6
40,0,1,1,4,3,0,0.0018336299,0.0023490089,0.0013933214,0.0019047642,9.2641274E-7
40,0,1,1,4,3,1,0.0027386243,0.0028832682,0.0013933214,0.0019047642,0.0000208556
40,0,1,1,4,3,2,0.0036034188,0.0049365254,0.0013933214,0.0019047642,7.9535923E-6
40,0,1,1,4,3,3,0.0038088133,0.0044432661,0.0013933214,0.0019047642,2.5758793E-6
40,0,1,1,4,3,4,0.005023223,0.0040769493,0.0013933214,0.0019047642,2.4403067E-6
40,0,1,1,4,4,0,0.0021007207,0.0030765984,0.0013933214,0.0019047642,4.5190865E-7
40,0,1,1,4,4,1,0.0031538153,0.0037985484,0.0013933214,0.0019047642,0.0000107554
40,0,1,1,4,4,2,0.0041531168,0.0065040062,0.0013933214,0.0019047642,3.027788E-6
40,0,1,1,4,4,3,0.0043898818,0.0058638442,0.0013933214,0.0019047642,5.6488582E-7
40,0,1,1,4,4,4,0.0058006558,0.005379429,0.0013933214,0.0019047642,1.1297716E-7
40,0,1,1,5,1,0,0.000262857,0.0005317496,0.0013933214,0.0019047642,0
40,0,1,1,5,1,1,0.0003900656,0.0006606802,0.0013933214,0.0019047642,0
40,0,1,1,5,1,2,0.0005142176,0.0011302607,0.0013933214,0.0019047642,3.3893149E-7
40,0,1,1,5,1,3,0.0005422376,0.0010146318,0.0013933214,0.0019047642,0
40,0,1,1,5,1,4,0.0007162806,0.0009225934,0.0013933214,0.0019047642,0
40,0,1,1,5,2,0,0.0006359243,0.0013201924,0.0013933214,0.0019047642,0
40,0,1,1,5,2,1,0.0009545446,0.0016181658,0.0013933214,0.0019047642,7.9084014E-7
40,0,1,1,5,2,2,0.0012543387,0.002771579,0.0013933214,0.0019047642,1.6268712E-6
40,0,1,1,5,2,3,0.001321398,0.0024845959,0.0013933214,0.0019047642,9.2641274E-7
40,0,1,1,5,2,4,0.001751062,0.0022797174,0.0013933214,0.0019047642,6.3267211E-7
40,0,1,1,5,3,0,0.0014551723,0.0024177341,0.0013933214,0.0019047642,4.9709952E-7
40,0,1,1,5,3,1,0.0021828287,0.0029702665,0.0013933214,0.0019047642,7.727638E-6
40,0,1,1,5,3,2,0.0028673242,0.0050920422,0.0013933214,0.0019047642,2.2143524E-6
40,0,1,1,5,3,3,0.0030320693,0.0045593601,0.0013933214,0.0019047642,3.6152692E-7
40,0,1,1,5,3,4,0.0039998499,0.0041989663,0.0013933214,0.0019047642,4.5190865E-7
40,0,1,1,5,4,0,0.0016642305,0.0031710992,0.0013933214,0.0019047642,3.8412235E-7
40,0,1,1,5,4,1,0.0025097793,0.0039162743,0.0013933214,0.0019047642,3.8412235E-6
40,0,1,1,5,4,2,0.0032997098,0.0067152559,0.0013933214,0.0019047642,3.6152692E-7
40,0,1,1,5,4,3,0.0034894291,0.0060203287,0.0013933214,0.0019047642,2.2595433E-8
40,0,1,1,5,4,4,0.0046116315,0.0055440952,0.0013933214,0.0019047642,0
40,0,1,1,6,1,0,0.0005946892,2.866588E-11,0.0013933214,0.0019047642,0
40,0,1,1,6,1,1,0.0008841644,3.561402E-11,0.0013933214,0.0019047642,0
40,0,1,1,6,1,2,0.0011655877,6.099566E-11,0.0013933214,0.0019047642,0
40,0,1,1,6,1,3,0.0012277408,5.477734E-11,0.0013933214,0.0019047642,0
40,0,1,1,6,1,4,0.0016213344,4.954603E-11,0.0013933214,0.0019047642,0
40,0,1,1,6,2,0,0.0014347886,7.142689E-11,0.0013933214,0.0019047642,0
